Brand,Model,Range(km),Long_distance_range(km),Battery_kWh,Weight(kg),Acceleration(0-100s),Efficiency(Wh/km),Seating_Capacity,Market_Segment,Fastcharge_power(kW),Towing_capacity(Kg),Cargo_volume(L),Price_per_range,Price(£)
Audi,A6 Avant e-tron quattro,560 km,677 km,94.9 kWh,2370 kg,4.5 sec,169 Wh/km,5,E,200 kW,2100 kg,529 L,€150 /km,"€81,450"
Audi,Q4 e-tron 50 quattro,385 km,418 km,76.6 kWh,2210 kg,6.2 sec,199 Wh/km,5,C,115 kW,1200 kg,520 L,€168 /km,"€57,900"
Peugeot,e-208 50 kWh (MY24),295 km,321 km,46.3 kWh,1530 kg,9.0 sec,157 Wh/km,5,B,78 kW,0 kg,309 L,€124 /km,"€35,975"
Opel,Mokka Electric,285 km,304 km,50.8 kWh,1615 kg,9.0 sec,178 Wh/km,5,B,85 kW,0 kg,310 L,€124 /km,"€36,740"
Opel,Grandland Electric 97 kWh,490 km,498 km,96.9 kWh,2255 kg,8.8 sec,198 Wh/km,5,C,130 kW,1150 kg,550 L,€104 /km,"€51,750"
Smart,#1 Pro+,335 km,364 km,62.0 kWh,1863 kg,6.7 sec,185 Wh/km,5,B,100 kW,1600 kg,338 L,€124 /km,"€42,490"
XPENG,G6 AWD Performance (MY25),425 km,548 km,80.0 kWh,2295 kg,4.1 sec,188 Wh/km,5,D,290 kW,1500 kg,571 L,€124 /km,"€51,600"
GWM,ORA 03 48 kWh,260 km,247 km,45.4 kWh,1615 kg,8.3 sec,175 Wh/km,5,C,45 kW,0 kg,228 L,€123 /km,"€26,990"
Kia,e-Niro 64 kWh,375 km,349 km,64.0 kWh,1812 kg,7.8 sec,171 Wh/km,5,C,64 kW,0 kg,451 L,€108 /km,"€38,105"
Mercedes-Benz,EQA 250,360 km,368 km,66.5 kWh,2040 kg,8.9 sec,185 Wh/km,5,C,100 kW,750 kg,340 L,€144 /km,"€47,541"
Mercedes-Benz,EQE 350+ (MY22-23),525 km,572 km,90.6 kWh,2355 kg,6.4 sec,173 Wh/km,5,E,141 kW,750 kg,430 L,€153 /km,"€70,626"
Ford,Explorer Standard Range RWD,305 km,338 km,52.0 kWh,1908 kg,8.7 sec,170 Wh/km,5,C,85 kW,1000 kg,536 L,€141 /km,"€42,500"
Volvo,EX40 Single Motor ER (MY25),400 km,441 km,79.0 kWh,2075 kg,7.3 sec,198 Wh/km,5,C,125 kW,1500 kg,441 L,€135 /km,"€55,490"
Volkswagen,ID.3 GTX (MY24-26),470 km,526 km,79.0 kWh,1985 kg,5.9 sec,168 Wh/km,5,C,135 kW,0 kg,385 L,€106 /km,"€47,225"
Jaguar,I-Pace EV400,380 km,354 km,84.7 kWh,2226 kg,4.8 sec,223 Wh/km,5,D,85 kW,750 kg,532 L,€235 /km,"€92,400"
BMW,i4 M50,450 km,516 km,81.3 kWh,2290 kg,3.9 sec,181 Wh/km,5,D,131 kW,1600 kg,470 L,€173 /km,"€72,100"
Tesla,Model 3 Performance,440 km,543 km,73.5 kWh,1931 kg,3.7 sec,167 Wh/km,5,D,163 kW,0 kg,542 L,€145 /km,"€61,480"
Audi,A6 Avant e-tron,465 km,560 km,75.8 kWh,2185 kg,6.0 sec,163 Wh/km,5,E,150 kW,2100 kg,529 L,€146 /km,"€64,450"
MG,ZS EV Standard Range,265 km,257 km,49.0 kWh,1645 kg,8.6 sec,185 Wh/km,5,B,50 kW,500 kg,448 L,€133 /km,"€33,990"
Subaru,Solterra AWD,320 km,347 km,64.0 kWh,2085 kg,6.9 sec,200 Wh/km,5,C,100 kW,750 kg,441 L,€175 /km,"€57,490"
Polestar,2,390 km,419 km,75.0 kWh,2198 kg,4.7 sec,192 Wh/km,5,D,108 kW,1500 kg,440 L,€150 /km,"€57,900"
Mercedes-Benz,EQS 450+,635 km,703 km,107.8 kWh,2480 kg,6.2 sec,170 Wh/km,5,F,173 kW,750 kg,610 L,€179 /km,"€109,551"
Mercedes-Benz,B 250e,150 km,106 km,28.0 kWh,1725 kg,7.9 sec,187 Wh/km,5,C,0 kW,unknown,501 L,€256 /km,"€39,151"
Volkswagen,ID.3 Pro Performance,350 km,375 km,58.0 kWh,1812 kg,7.3 sec,166 Wh/km,5,C,82 kW,0 kg,385 L,€129 /km,"€43,995"
BMW,i4 eDrive35,435 km,493 km,67.1 kWh,2070 kg,6.0 sec,154 Wh/km,5,D,95 kW,1600 kg,470 L,€136 /km,"€57,600"
Citroën,C5 Aircross Comfort Range,375 km,389 km,73.7 kWh,2184 kg,8.9 sec,197 Wh/km,5,C,90 kW,1250 kg,565 L,€104 /km,"€42,590"
Volvo,ES90 Twin Motor (MY26),530 km,635 km,102.0 kWh,2628 kg,5.5 sec,192 Wh/km,5,F,200 kW,2000 kg,468 L,€170 /km,"€88,990"
Smart,#1 Brabus,325 km,357 km,62.0 kWh,1975 kg,3.9 sec,191 Wh/km,5,B,100 kW,1600 kg,328 L,€152 /km,"€48,990"
Maxus,MIFA 9,360 km,340 km,84.0 kWh,2485 kg,9.2 sec,233 Wh/km,7,N,103 kW,1000 kg,521 L,€200 /km,"€68,990"
Hyundai,IONIQ 9 Performance AWD,485 km,550 km,106.0 kWh,2689 kg,5.2 sec,219 Wh/km,7,F,195 kW,2500 kg,390 L,€177 /km,"€86,750"
Tesla,Model X Long Range,440 km,463 km,95.0 kWh,2505 kg,4.6 sec,216 Wh/km,7,F,110 kW,2250 kg,unknown,€206 /km,"€85,990"
BMW,i3 60 Ah,115 km,133 km,18.8 kWh,1270 kg,7.2 sec,163 Wh/km,4,B,41 kW,unknown,260 L,€297 /km,"€34,950"
NIO,EL6 Long Range,435 km,471 km,90.0 kWh,2398 kg,4.5 sec,207 Wh/km,5,E,135 kW,1200 kg,579 L,€174 /km,"€74,500"
Volkswagen,ID.7 Tourer Pro (MY24-25),470 km,535 km,77.0 kWh,2191 kg,6.6 sec,164 Wh/km,5,E,125 kW,1000 kg,605 L,€117 /km,"€54,795"
Peugeot,e-208 54 kWh (MY25),335 km,359 km,50.8 kWh,1530 kg,8.2 sec,152 Wh/km,5,B,85 kW,0 kg,309 L,€105 /km,"€37,525"
Citroën,ë-C4 54 kWh,325 km,348 km,50.8 kWh,1646 kg,9.1 sec,156 Wh/km,5,C,78 kW,0 kg,380 L,€109 /km,"€34,100"
Opel,Corsa Electric 54 kWh (MY25),335 km,357 km,50.8 kWh,1544 kg,8.1 sec,152 Wh/km,5,B,85 kW,0 kg,267 L,€93 /km,"€31,490"
Mini,Cooper SE,180 km,183 km,28.9 kWh,1440 kg,7.3 sec,161 Wh/km,4,B,44 kW,0 kg,211 L,€179 /km,"€32,500"
Nissan,Ariya 63kWh,335 km,351 km,63.0 kWh,1980 kg,7.5 sec,188 Wh/km,5,C,90 kW,750 kg,468 L,€127 /km,"€47,490"
Ford,Capri Extended Range AWD,455 km,517 km,79.0 kWh,2175 kg,5.3 sec,174 Wh/km,5,D,135 kW,1200 kg,572 L,€128 /km,"€54,831"
Kia,EV6 Standard Range 2WD,345 km,425 km,60.0 kWh,1955 kg,8.7 sec,174 Wh/km,5,C,150 kW,750 kg,542 L,€131 /km,"€44,990"
BMW,i3s 120 Ah,230 km,214 km,37.9 kWh,1365 kg,6.9 sec,165 Wh/km,4,B,47 kW,0 kg,260 L,€183 /km,"€42,600"
XPENG,G9 AWD Performance (MY25),465 km,600 km,92.2 kWh,2470 kg,4.2 sec,198 Wh/km,5,E,330 kW,1500 kg,731 L,€160 /km,"€72,600"
Mercedes-Benz,EQS 580 4MATIC,590 km,654 km,108.4 kWh,2635 kg,4.3 sec,184 Wh/km,5,F,173 kW,750 kg,620 L,€267 /km,"€141,705"
Kia,EV6 GT,395 km,488 km,80.0 kWh,2220 kg,3.5 sec,203 Wh/km,5,C,205 kW,1800 kg,500 L,€175 /km,"€69,990"
Volkswagen,ID.3 Pro S (MY24-25),465 km,511 km,77.0 kWh,1957 kg,7.1 sec,166 Wh/km,5,C,120 kW,0 kg,385 L,€92 /km,"€47,595"
DS Automobiles,N°8 FWD Long Range,545 km,566 km,97.2 kWh,2255 kg,7.8 sec,178 Wh/km,5,D,130 kW,1200 kg,620 L,€115 /km,"€63,200"
Mercedes-Benz,EQE 300 (MY23),525 km,566 km,89.0 kWh,2405 kg,7.3 sec,170 Wh/km,5,E,120 kW,750 kg,430 L,€137 /km,"€67,187"
Lexus,UX 300e,340 km,291 km,64.0 kWh,1850 kg,7.5 sec,188 Wh/km,5,C,35 kW,0 kg,316 L,€135 /km,N/A
MG,Cyberster GT,395 km,409 km,74.4 kWh,2060 kg,3.2 sec,188 Wh/km,2,S,85 kW,unknown,249 L,€176 /km,"€69,990"
Smart,#3 Brabus,350 km,372 km,62.0 kWh,1985 kg,3.7 sec,177 Wh/km,5,B,100 kW,1600 kg,385 L,€145 /km,"€50,990"
BMW,i5 eDrive40 Touring,455 km,522 km,81.2 kWh,2255 kg,6.1 sec,178 Wh/km,5,E,136 kW,1500 kg,570 L,€171 /km,"€72,200"
BMW,i4 eDrive35,430 km,487 km,67.0 kWh,2065 kg,6.0 sec,156 Wh/km,5,D,95 kW,1600 kg,470 L,€134 /km,"€56,500"
Toyota,Proace Verso L 75 kWh,265 km,252 km,69.0 kWh,2240 kg,13.3 sec,260 Wh/km,9,N,79 kW,1000 kg,989 L,€227 /km,"€65,840"
BMW,iX3 (MY21),385 km,411 km,74.0 kWh,2260 kg,6.8 sec,192 Wh/km,5,D,104 kW,750 kg,510 L,€175 /km,"€67,300"
Mercedes-Benz,EQV 300 Long,320 km,297 km,90.0 kWh,2625 kg,12.1 sec,281 Wh/km,7,N,96 kW,0 kg,1030 L,€267 /km,"€62,010"
Zeekr,7X Premium RWD,375 km,484 km,71.0 kWh,2395 kg,6.0 sec,189 Wh/km,5,D,240 kW,2000 kg,605 L,€144 /km,N/A
Lucid,Air Grand Touring (MY23-24),665 km,763 km,112.0 kWh,2435 kg,3.0 sec,168 Wh/km,5,F,184 kW,0 kg,910 L,€196 /km,"€129,000"
Hyundai,Kona Electric 48 kWh,295 km,288 km,48.4 kWh,1690 kg,8.8 sec,164 Wh/km,5,B,50 kW,300 kg,493 L,€135 /km,"€41,990"
NIO,EL8 Long Range,440 km,524 km,90.0 kWh,2633 kg,4.1 sec,205 Wh/km,6,F,190 kW,2000 kg,265 L,€232 /km,"€103,900"
Mazda,MX-30,170 km,159 km,30.0 kWh,1720 kg,9.7 sec,176 Wh/km,5,C,34 kW,0 kg,366 L,€198 /km,"€34,490"
Volvo,EX40 Single Motor (MY25),345 km,383 km,67.0 kWh,2040 kg,7.3 sec,194 Wh/km,5,C,110 kW,1500 kg,441 L,€144 /km,"€49,990"
MG,IM5 Performance,510 km,648 km,96.5 kWh,2298 kg,3.2 sec,189 Wh/km,5,D,250 kW,unknown,475 L,€109 /km,N/A
Volvo,EX90 Twin Motor Performance (MY24-25),485 km,523 km,107.0 kWh,2762 kg,4.9 sec,221 Wh/km,7,F,150 kW,2200 kg,703 L,€213 /km,"€96,800"
Opel,Frontera Electric 54 kWh,290 km,298 km,53.5 kWh,1610 kg,13.0 sec,184 Wh/km,5,B,70 kW,550 kg,460 L,€108 /km,"€31,190"
Audi,e-tron GT RS,405 km,511 km,85.0 kWh,2420 kg,3.3 sec,210 Wh/km,4,F,216 kW,0 kg,451 L,€361 /km,"€146,050"
Volvo,XC40 Recharge Single Motor ER (MY24),400 km,441 km,79.0 kWh,2075 kg,7.3 sec,198 Wh/km,5,C,125 kW,1500 kg,441 L,€131 /km,"€53,000"
XPENG,G9 AWD Performance (MY24),465 km,577 km,93.1 kWh,2415 kg,3.9 sec,200 Wh/km,5,E,224 kW,1500 kg,731 L,€156 /km,"€71,600"
Audi,Q4 e-tron 55 quattro,395 km,437 km,77.0 kWh,2235 kg,5.4 sec,195 Wh/km,5,C,120 kW,1200 kg,520 L,€160 /km,"€59,000"
Changan,Deepal S05 4WD Max,365 km,428 km,68.0 kWh,2115 kg,5.5 sec,186 Wh/km,5,C,130 kW,1600 kg,651 L,€123 /km,"€44,990"
Smart,#3 Premium,355 km,394 km,62.0 kWh,1885 kg,5.8 sec,175 Wh/km,5,B,110 kW,1600 kg,385 L,€128 /km,"€46,490"
Nissan,LEAF 30 kWh (MY15-17),170 km,173 km,28.0 kWh,1538 kg,11.5 sec,165 Wh/km,5,C,45 kW,unknown,370 L,€191 /km,"€33,960"
Polestar,3 Long Range Dual motor (MY23-25),515 km,555 km,107.0 kWh,2654 kg,5.0 sec,208 Wh/km,5,E,150 kW,2200 kg,516 L,€168 /km,"€85,590"
Volkswagen,ID.4 GTX,400 km,434 km,77.0 kWh,2239 kg,6.3 sec,193 Wh/km,5,C,115 kW,1200 kg,543 L,€147 /km,"€53,255"
Toyota,Urban Cruiser 61.1 kWh AWD,310 km,286 km,59.8 kWh,1935 kg,7.4 sec,193 Wh/km,5,B,60 kW,750 kg,238 L,€130 /km,"€40,990"
BYD,TANG,355 km,342 km,86.4 kWh,2705 kg,4.6 sec,243 Wh/km,7,E,109 kW,1500 kg,235 L,€199 /km,"€71,400"
Kia,EV4 Hatchback 58.3 kWh,340 km,364 km,55.0 kWh,1805 kg,7.4 sec,162 Wh/km,5,C,80 kW,500 kg,435 L,€113 /km,"€37,590"
Tesla,Model S Performance,535 km,595 km,98.0 kWh,2307 kg,2.8 sec,183 Wh/km,5,F,125 kW,0 kg,894 L,€194 /km,"€98,990"
Volvo,C40 Recharge Twin Motor (MY24),400 km,443 km,79.0 kWh,2185 kg,4.7 sec,198 Wh/km,5,C,125 kW,1800 kg,450 L,€154 /km,"€61,400"
Škoda,Enyaq Coupe 85 (MY25),470 km,493 km,77.0 kWh,2140 kg,6.7 sec,164 Wh/km,5,C,120 kW,1000 kg,570 L,€107 /km,"€51,150"
Ford,Mustang Mach-E ER RWD (MY21),465 km,436 km,88.0 kWh,2160 kg,7.0 sec,189 Wh/km,5,D,86 kW,750 kg,619 L,€120 /km,"€54,475"
BMW,i7 M70 xDrive,490 km,534 km,101.7 kWh,2770 kg,3.7 sec,208 Wh/km,5,F,159 kW,0 kg,500 L,€381 /km,"€181,800"
Volkswagen,ID.4 Pro,410 km,436 km,77.0 kWh,2123 kg,10.4 sec,188 Wh/km,5,C,125 kW,1000 kg,543 L,€126 /km,N/A
Polestar,2 Long Range Single Motor (MY25),475 km,533 km,79.0 kWh,2084 kg,6.2 sec,166 Wh/km,5,D,125 kW,1500 kg,448 L,€112 /km,"€52,690"
Volvo,XC40 Recharge Twin Motor (MY24),385 km,419 km,79.0 kWh,2170 kg,4.8 sec,205 Wh/km,5,C,125 kW,1800 kg,441 L,€155 /km,"€59,950"
Mini,Cooper E,250 km,267 km,36.6 kWh,1615 kg,7.3 sec,146 Wh/km,4,B,60 kW,0 kg,200 L,€138 /km,"€32,900"
Polestar,2 Long Range Dual Motor (MY24),450 km,507 km,79.0 kWh,2183 kg,4.5 sec,176 Wh/km,5,D,125 kW,1500 kg,446 L,€125 /km,"€52,275"
Cadillac,LYRIQ 600 E4 (MY24),460 km,492 km,102.0 kWh,2774 kg,5.3 sec,222 Wh/km,5,E,165 kW,1587 kg,793 L,€180 /km,"€83,000"
Tesla,Model X Plaid (MY26),475 km,531 km,95.0 kWh,2515 kg,2.9 sec,200 Wh/km,6,F,140 kW,2250 kg,608 L,€265 /km,"€125,970"
Smart,EQ forfour,95 km,66 km,16.7 kWh,1200 kg,12.7 sec,176 Wh/km,4,A,0 kW,0 kg,185 L,€241 /km,"€19,120"
Peugeot,e-308 (MY23-25),300 km,324 km,50.8 kWh,1759 kg,9.8 sec,169 Wh/km,5,C,80 kW,0 kg,412 L,€137 /km,"€42,435"
Audi,A6 Sportback e-tron,485 km,587 km,75.8 kWh,2175 kg,6.0 sec,156 Wh/km,5,E,150 kW,2100 kg,529 L,€137 /km,"€62,800"
Volkswagen,ID.4 1st,410 km,436 km,77.0 kWh,2124 kg,8.5 sec,188 Wh/km,5,C,125 kW,1000 kg,543 L,€116 /km,"€48,691"
Jaguar,I-Pace EV400,380 km,360 km,84.7 kWh,2208 kg,4.8 sec,223 Wh/km,5,D,85 kW,750 kg,505 L,€207 /km,"€76,815"
Tesla,Model S 70D,350 km,369 km,66.5 kWh,2156 kg,5.4 sec,190 Wh/km,5,F,95 kW,unknown,895 L,€240 /km,"€83,500"
Tesla,Model X 75D,335 km,336 km,72.5 kWh,2427 kg,5.2 sec,216 Wh/km,7,F,80 kW,2250 kg,unknown,€283 /km,"€93,500"
Peugeot,e-2008,270 km,294 km,46.3 kWh,1623 kg,8.5 sec,171 Wh/km,5,B,78 kW,0 kg,434 L,€146 /km,"€37,900"
BMW,iX M60,485 km,515 km,105.2 kWh,2659 kg,3.8 sec,217 Wh/km,5,E,149 kW,2500 kg,500 L,€285 /km,"€136,100"
Audi,Q4 e-tron 35,285 km,301 km,52.0 kWh,1965 kg,9.0 sec,182 Wh/km,5,C,70 kW,0 kg,520 L,€173 /km,"€44,700"
BMW,i7 eDrive50,520 km,572 km,101.7 kWh,2595 kg,5.5 sec,196 Wh/km,5,F,159 kW,0 kg,500 L,€227 /km,"€115,700"
Polestar,2 Standard Range Single Motor (MY26),405 km,460 km,67.0 kWh,2020 kg,6.4 sec,165 Wh/km,5,D,110 kW,1500 kg,448 L,€120 /km,"€48,990"
Škoda,Enyaq 60 (MY25),360 km,416 km,59.0 kWh,2002 kg,8.1 sec,164 Wh/km,5,C,110 kW,1000 kg,585 L,€121 /km,"€44,400"
Tesla,Model S 75,380 km,386 km,72.5 kWh,2102 kg,4.6 sec,191 Wh/km,5,F,80 kW,unknown,895 L,€189 /km,"€69,970"
Porsche,Taycan Turbo S,400 km,504 km,83.7 kWh,2370 kg,2.8 sec,209 Wh/km,5,F,216 kW,0 kg,450 L,€459 /km,"€189,668"
MG,MG5 EV,290 km,290 km,48.8 kWh,1607 kg,7.7 sec,168 Wh/km,5,C,60 kW,0 kg,464 L,€103 /km,N/A
MG,MG4 Electric XPOWER,320 km,361 km,61.7 kWh,1878 kg,3.8 sec,193 Wh/km,5,C,115 kW,500 kg,363 L,€137 /km,"€46,990"
Suzuki,e VITARA 61 kWh 4WD AllGrip,310 km,286 km,59.8 kWh,1935 kg,7.4 sec,193 Wh/km,5,B,60 kW,750 kg,238 L,€125 /km,N/A
Škoda,Enyaq Coupe RS (MY26),470 km,534 km,79.0 kWh,2239 kg,5.4 sec,168 Wh/km,5,C,135 kW,1800 kg,570 L,€129 /km,"€60,850"
Jaguar,I-Pace EV400,380 km,360 km,84.7 kWh,2208 kg,4.8 sec,223 Wh/km,5,D,85 kW,750 kg,505 L,€205 /km,"€77,300"
Hyundai,IONIQ 5 Long Range AWD (MY21),365 km,452 km,70.0 kWh,2095 kg,5.2 sec,192 Wh/km,5,C,185 kW,1600 kg,555 L,€143 /km,"€49,900"
MG,MG5 Electric Standard Range,265 km,276 km,46.0 kWh,1637 kg,7.7 sec,174 Wh/km,5,C,60 kW,500 kg,479 L,€139 /km,"€35,490"
Mini,Aceman SE,290 km,308 km,49.2 kWh,1785 kg,7.1 sec,170 Wh/km,5,B,75 kW,750 kg,300 L,€141 /km,"€39,550"
Audi,Q6 SUV e-tron performance,490 km,570 km,94.9 kWh,2275 kg,6.6 sec,194 Wh/km,5,D,190 kW,2000 kg,590 L,€145 /km,"€68,800"
Citroën,ë-C4,285 km,310 km,46.3 kWh,1646 kg,9.9 sec,162 Wh/km,5,C,78 kW,0 kg,380 L,€114 /km,"€31,900"
Mercedes-Benz,EQE 350 (MY23),515 km,556 km,89.0 kWh,2405 kg,6.4 sec,173 Wh/km,5,E,120 kW,750 kg,430 L,€157 /km,"€70,995"
BMW,i5 eDrive40 Sedan (MY25),480 km,547 km,81.2 kWh,2195 kg,6.0 sec,169 Wh/km,5,E,136 kW,1500 kg,490 L,€157 /km,"€70,200"
Nissan,LEAF Standard Range 52 kWh (MY26),320 km,343 km,52.0 kWh,1889 kg,8.6 sec,163 Wh/km,5,C,70 kW,975 kg,437 L,€116 /km,"* €37,000"
Škoda,CITIGOe iV,205 km,188 km,32.3 kWh,1235 kg,12.3 sec,158 Wh/km,4,A,30 kW,0 kg,250 L,€110 /km,"€24,534"
Renault,Kangoo E-Tech Electric,225 km,221 km,45.0 kWh,1871 kg,12.6 sec,200 Wh/km,5,N,50 kW,1500 kg,950 L,€159 /km,"€35,850"
XPENG,G6 AWD Performance (MY24),475 km,565 km,87.5 kWh,2195 kg,4.1 sec,184 Wh/km,5,D,180 kW,1500 kg,571 L,€111 /km,"€51,600"
Audi,e-tron GT RS performance,525 km,693 km,97.0 kWh,2395 kg,2.5 sec,185 Wh/km,4,F,281 kW,0 kg,427 L,€311 /km,"€160,500"
Renault,Kangoo Maxi ZE 33,160 km,115 km,31.0 kWh,1630 kg,22.4 sec,194 Wh/km,5,N,0 kW,0 kg,1300 L,€236 /km,"€38,000"
Škoda,Enyaq 85x (MY24),440 km,485 km,77.0 kWh,2213 kg,6.6 sec,175 Wh/km,5,C,120 kW,1200 kg,585 L,€122 /km,"€51,150"
Volkswagen,ID.7 Tourer GTX (MY26),500 km,566 km,86.0 kWh,2336 kg,5.5 sec,172 Wh/km,5,E,145 kW,1800 kg,605 L,€132 /km,"€64,065"
Volkswagen,ID.7 Pro S (MY24-25),525 km,600 km,86.0 kWh,2226 kg,6.6 sec,164 Wh/km,5,E,145 kW,1000 kg,532 L,€114 /km,"€58,985"
Opel,Grandland Electric 73 kWh,370 km,388 km,73.0 kWh,2207 kg,9.0 sec,197 Wh/km,5,C,90 kW,1200 kg,550 L,€120 /km,"€46,950"
Mercedes-Benz,EQS SUV Maybach 680,490 km,507 km,118.0 kWh,3075 kg,4.4 sec,241 Wh/km,4,F,160 kW,1800 kg,440 L,€441 /km,"€200,634"
Volkswagen,ID. Buzz LWB GTX,380 km,425 km,86.0 kWh,2758 kg,6.5 sec,226 Wh/km,7,N,145 kW,1600 kg,1340 L,€196 /km,"€74,928"
Lotus,Eletre,495 km,604 km,109.0 kWh,2565 kg,4.5 sec,220 Wh/km,5,F,259 kW,2250 kg,657 L,€202 /km,"€96,990"
Kia,EV9 99.8 kWh AWD GT-Line,425 km,471 km,96.0 kWh,2648 kg,5.3 sec,226 Wh/km,7,F,194 kW,2500 kg,385 L,€193 /km,"€82,380"
Renault,Megane E-Tech EV60 130hp (TU2025),380 km,410 km,60.0 kWh,1725 kg,10.5 sec,158 Wh/km,5,C,87 kW,500 kg,440 L,€96 /km,N/A
BMW,i4 xDrive40,490 km,558 km,81.3 kWh,2260 kg,5.1 sec,166 Wh/km,5,D,131 kW,1600 kg,470 L,€132 /km,"€63,000"
Volkswagen,ID. Buzz NWB Pro,370 km,405 km,79.0 kWh,2492 kg,7.6 sec,214 Wh/km,6,N,135 kW,1200 kg,1121 L,€165 /km,"€60,892"
NIO,ET7 Long Range,505 km,509 km,90.0 kWh,2454 kg,3.8 sec,178 Wh/km,5,F,100 kW,2000 kg,363 L,€183 /km,"€90,900"
Seres,3,260 km,232 km,51.0 kWh,1765 kg,8.9 sec,196 Wh/km,5,C,50 kW,0 kg,318 L,€146 /km,N/A
XPENG,G9 RWD Standard Range (MY24),395 km,478 km,75.8 kWh,2285 kg,6.4 sec,192 Wh/km,5,E,170 kW,1500 kg,731 L,€150 /km,"€59,600"
BMW,iX M70 xDrive,500 km,524 km,108.9 kWh,2655 kg,3.8 sec,218 Wh/km,5,E,150 kW,2500 kg,500 L,€258 /km,"€124,900"
Ford,e-Tourneo Courier,200 km,216 km,43.6 kWh,1724 kg,11.0 sec,218 Wh/km,5,N,80 kW,750 kg,unknown,€176 /km,"€35,999"
Lucid,Air Dream Edition R,685 km,788 km,118.0 kWh,2435 kg,2.9 sec,172 Wh/km,5,F,185 kW,0 kg,910 L,€321 /km,"€218,000"
Mercedes-Benz,EQS 450 4MATIC,655 km,704 km,118.0 kWh,2655 kg,5.7 sec,180 Wh/km,5,F,160 kW,1700 kg,620 L,€176 /km,"€113,359"
Ford,Mustang Mach-E ER AWD (MY22),440 km,410 km,91.0 kWh,2257 kg,5.8 sec,207 Wh/km,5,D,86 kW,1000 kg,619 L,€165 /km,"€69,700"
Nissan,Micra Extended Range 52 kWh,330 km,341 km,52.0 kWh,1527 kg,8.0 sec,158 Wh/km,5,B,70 kW,500 kg,326 L,€98 /km,"€32,990"
Škoda,Elroq RS (MY26),455 km,510 km,79.0 kWh,2190 kg,5.4 sec,174 Wh/km,5,C,135 kW,1800 kg,470 L,€117 /km,"€53,050"
Mercedes-Benz,EQV 300 Long,310 km,285 km,90.0 kWh,2635 kg,12.1 sec,290 Wh/km,7,N,96 kW,0 kg,1030 L,€276 /km,"€71,626"
MG,Marvel R Performance,350 km,335 km,70.0 kWh,1995 kg,4.9 sec,200 Wh/km,5,C,82 kW,750 kg,357 L,€148 /km,"€50,990"
Škoda,Elroq 85x (MY26),445 km,493 km,77.0 kWh,2141 kg,6.6 sec,173 Wh/km,5,C,120 kW,1800 kg,470 L,€104 /km,"€46,450"
Maserati,GranTurismo Folgore,420 km,531 km,83.0 kWh,2335 kg,2.7 sec,198 Wh/km,4,F,217 kW,unknown,270 L,€480 /km,"€198,212"
Kia,EV9 99.8 kWh RWD,450 km,502 km,96.0 kWh,2501 kg,9.4 sec,213 Wh/km,7,F,194 kW,900 kg,423 L,€155 /km,"€64,990"
Porsche,Taycan Turbo S,525 km,674 km,97.0 kWh,2370 kg,2.4 sec,185 Wh/km,5,F,262 kW,0 kg,450 L,€390 /km,"€209,900"
NIO,ET7 Standard Range,415 km,456 km,73.5 kWh,2434 kg,3.8 sec,177 Wh/km,5,F,110 kW,2000 kg,363 L,€201 /km,"€81,900"
Polestar,2 Long Range Dual Motor (MY26),455 km,514 km,79.0 kWh,2183 kg,4.5 sec,174 Wh/km,5,D,125 kW,1500 kg,448 L,€127 /km,"€56,990"
Honda,e Advance,170 km,169 km,28.5 kWh,1595 kg,8.3 sec,168 Wh/km,4,B,32 kW,0 kg,171 L,€242 /km,"€39,900"
Alfa Romeo,Junior Elettrica 54 kWh Veloce,310 km,327 km,50.8 kWh,1635 kg,6.0 sec,164 Wh/km,5,B,85 kW,0 kg,400 L,€156 /km,"€48,500"
Audi,Q4 e-tron 35,285 km,324 km,52.0 kWh,1990 kg,9.0 sec,182 Wh/km,5,C,90 kW,1000 kg,520 L,€160 /km,"€45,600"
Jeep,Compass Electric 74 kWh,370 km,387 km,74.0 kWh,2198 kg,8.5 sec,200 Wh/km,5,C,90 kW,1000 kg,550 L,€127 /km,"€50,400"
Mercedes-Benz,EQB 350 4MATIC,345 km,357 km,66.5 kWh,2165 kg,6.2 sec,193 Wh/km,7,C,100 kW,1700 kg,495 L,€187 /km,"€58,197"
Audi,Q6 SUV e-tron,395 km,459 km,75.8 kWh,2200 kg,7.0 sec,192 Wh/km,5,D,150 kW,2000 kg,590 L,€167 /km,"€63,500"
DS Automobiles,N°8 AWD Long Range,530 km,552 km,97.2 kWh,2364 kg,5.4 sec,183 Wh/km,5,D,130 kW,1400 kg,620 L,€139 /km,"€75,000"
Ford,Focus Electric,105 km,75 km,19.6 kWh,1700 kg,11.4 sec,186 Wh/km,5,C,0 kW,unknown,237 L,€358 /km,"€39,990"
Mercedes-Benz,EQE SUV 350 4MATIC (MY23-24),435 km,468 km,90.6 kWh,2560 kg,6.6 sec,208 Wh/km,5,E,141 kW,1800 kg,520 L,€215 /km,"€89,548"
Porsche,Macan Turbo Electric (MY24-25),460 km,544 km,95.0 kWh,2480 kg,3.3 sec,207 Wh/km,5,D,200 kW,2000 kg,564 L,€250 /km,"€114,600"
Volvo,EX30 Cross Country (MY26),330 km,367 km,65.0 kWh,1960 kg,3.7 sec,197 Wh/km,5,B,114 kW,1600 kg,325 L,€166 /km,"€57,290"
